"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Digital","OverDrive","EBOOK","2018","12","1","Emily and the Dark Angel","Jo Beverley","Fiction, Historical Fiction, Romance","Penguin Group (USA), Inc.","2013"
"Physical","Horizon","BOOK","2018","12","1","Mrs Pargeter's public relations : a Mrs Pargeter mystery / Simon Brett.","Brett, Simon","Women detectives Great Britain Fiction, Widows Great Britain Fiction, Pargeter Mrs Fictitious character Fiction, Detective and mystery fiction","Crème de la Crime,","[2017]"
"Physical","Horizon","BOOK","2018","12","3","Gei lao shi de yi feng xin / wen, Daibola Huojinsen ; tu, Nanxi Kabente ; yi, Song Pei.","Hopkinson, Deborah","Teachers Juvenile fiction, Schools Juvenile fiction, Conduct of life Juvenile fiction, Letters Juvenile fiction, Picture books for children, Chinese language materials","Wei jing guo ju gu fen you xian gong si,","2018."
"Digital","OverDrive","EBOOK","2018","12","1","A Face at the Window: Home Repair is Homicide Mystery Series, Book 12","Sarah Graves","Fiction, Mystery","Random House, Inc.","2009"
"Digital","OverDrive","EBOOK","2018","12","5","Closer to Home: Herald Spy Series, Book 1","Mercedes Lackey","Fantasy, Fiction, Science Fiction, Thriller","Penguin Group (USA), Inc.","2014"
"Physical","Horizon","BOOK","2018","12","6","Amazo and the planetary reboot / by Brandon T. Snider ; illustrated by Tim Levins.","Snider, Brandon T.","Justice League United Fictitious characters Juvenile fiction, Superheroes Juvenile fiction, Supervillains Juvenile fiction, Androids Juvenile fiction, Robots Fiction","Stone Arch Books, a Capstone imprint,","2017."
"Digital","OverDrive","EBOOK","2018","12","2","Divine Secrets of the Ya-Ya Sisterhood: Ya-Yas Series, Book 2","Rebecca Wells","Fiction, Literature","HarperCollins Publishers Inc.","2005"
"Physical","Horizon","BOOK","2018","12","1","Anglo-Welsh poetry, 1480-1980 / edited and introduced by Raymond Garlick & Roland Mathias.",,"English poetry Welsh authors, Wales Poetry","Dufour Editions,","1985."
"Digital","OverDrive","EBOOK","2018","12","1","Swimming to Catalina: Stone Barrington Series, Book 4","Stuart Woods","Fiction, Mystery","HarperCollins Publishers Inc.","2009"
"Physical","Horizon","VIDEODISC","2018","12","2","Jazz icons. Series 3, Bonus disc / producers, David Peck, Phillip Galloway & Tom Gulotta for Reelin' in the Years Productions.",,"Jazz 1961 1970, Saxophone music Jazz, Piano music Jazz, Jazz vocals, Concert television programs, Concert films","Reelin' in the Years Productions,","[2008]"
"Digital","OverDrive","EBOOK","2018","12","2","Forged in Fire","Ari McKay","Fantasy, Fiction, Romance","Dreamspinner Press","2018"
"Physical","Horizon","BOOK","2018","12","1","Mosaics / Verdiano Marzi, Fabienne Gambrelle ; photographs, Florent de La Tullaye.","Marzi, Verdiano, 1949-","Mosaics, Mosaics Technique","Search,","2010."
"Physical","Horizon","VIDEODISC","2018","12","2","Die Faelschung / eine Deutsch-Franzoesische Gemeinschafsproduktion der Bioskop-Film/Artemis-Film ; Argos Films Paris ; Drehbuch, Volker Schloendorff, Jean-Claude Carriere, Margarethe Von Totta, Kai Herrmann ; produzent, Eberhard Junkersdorf ; regie, Volker Schloendorff.",,"Journalists Drama, Civil war Drama, Beirut Lebanon Drama, Motion pictures German, Feature films, War films, Fiction films","Distributed by Kino on Video,","[2004]"
"Digital","OverDrive","AUDIOBOOK","2018","12","1","Twelve Times Blessed: A Novel (unabridged) (Unabridged)","Jacquelyn Mitchard","Fiction","Blackstone Audio, Inc.","2006"
"Digital","OverDrive","EBOOK","2018","12","1","Economics 101: From Consumer Behavior to Competitive Markets—Everything You Need to Know About Economics","Alfred Mill","Business, Management, Nonfiction","Simon & Schuster, Inc.","2017"
"Digital","OverDrive","EBOOK","2018","12","5","The Secret Lives of Introverts: Inside Our Hidden World","Jenn Granneman","Nonfiction, Self Help, Self-Improvement","Lightning Source Inc","2017"
"Digital","OverDrive","AUDIOBOOK","2018","12","1","Dead to Rights: Joanna Brady Series, Book 4 (unabridged) (Unabridged)","J. A. Jance","Fiction, Mystery","HarperCollins Publishers Inc.","2011"
"Physical","Horizon","BOOK","2018","12","1","Rapunzel and the seven dwarfs : a Maynard Moose tale / as told to Willy Claflin ; illustrated by James Stimson.","Claflin, Willy, 1944-","Fairy tales","August House LittleFolk,","2011."
"Physical","Horizon","LARGEPRINT","2018","12","1","Claimed for the Leonelli legacy / by Lynne Graham.","Graham, Lynne, 1956-","Heiresses Fiction, Billionaires Fiction, Man woman relationships Fiction, Romance fiction, Large type books","Mills & Boon,","2018, c2017."
"Digital","OverDrive","AUDIOBOOK","2018","12","2","The Read-Aloud Family: Making Meaningful and Lasting Connections with Your Kids (unabridged) (Unabridged)","Sarah Mackenzie","Education, Nonfiction, Religion & Spirituality","Zondervan","2018"
"Digital","OverDrive","EBOOK","2018","12","1","Nick and Tesla's High-Voltage Danger Lab: Nick and Tesla Series, Book 1","Bob Pflugfelder","Juvenile Fiction, Mystery, Science Fiction","Random House, Inc.","2013"
"Physical","Horizon","SOUNDDISC","2018","12","3","Speak my mind / the Willis Clan.","Willis Clan (Musical group)","Popular music 2011 2020, Popular music","Willis Clan Records,","[2018]"
"Digital","OverDrive","AUDIOBOOK","2018","12","1","The DASH Diet Younger You: Shed 20 Years—and Pounds—in Just 10 Weeks (unabridged) (Unabridged)","Marla Heller, MS, RD","Health & Fitness, Nonfiction","Blackstone Audio, Inc.","2015"
"Digital","OverDrive","EBOOK","2018","12","1","Dead Man's Bones: China Bayles Mystery Series, Book 13","Susan Wittig Albert","Fiction, Mystery","Penguin Group (USA), Inc.","2011"
"Digital","OverDrive","EBOOK","2018","12","4","Hardwired--The Hacker Series #1: Hacker Series, Book 1","Meredith Wild","Fiction, Romance","Hachette Digital, Inc.","2015"
"Physical","Horizon","VIDEODISC","2018","12","5","Robot chicken. Season 7 / Sony Pictures Television.",,"Action figures Toys Drama, Chickens Drama, Television series, Television comedies, Animated television programs, Fiction television programs, Video recordings for the hearing impaired","Warner Home Video,","[2015]"
"Digital","OverDrive","AUDIOBOOK","2018","12","1","Dark at the Crossing (Unabridged)","Elliot Ackerman","Fiction, Literature","HighBridge Company","2017"
"Physical","Horizon","BOOK","2018","12","5","Quentin Blake's A Christmas carol / Charles Dickens.","Dickens, Charles, 1812-1870","Scrooge Ebenezer Juvenile fiction, Christmas Fiction, England Juvenile fiction","Pavilion Children's,","2011."
"Physical","Horizon","VIDEODISC","2018","12","1","The white countess / Sony Pictures Classics ; Merchant Ivory Productions ; Shanghai Film Group Corporation ; a VIP Medienfonds 3 production ; produced by Ismail Merchant ; written by Kazuo Ishiguro ; directed by James Ivory.",,"Diplomats Drama, Blindness China Shanghai Drama, Women refugees Drama, Feature films, Fiction films, Historical films, Video recordings for the hearing impaired","Sony Pictures Home Entertainment,","[2006]"
"Physical","Horizon","BOOK","2018","12","14","Mistakes were made / Stephan Pastis.","Pastis, Stephan","Private investigators Juvenile fiction, Polar bear Juvenile fiction, Friendship Fiction, Humorous stories, Mystery and detective stories","Candlewick Press,","2013."
"Physical","Horizon","BOOK","2018","12","4","Exact thinking in demented times : the Vienna Circle and the epic quest for the foundations of science / Karl Sigmund ; [with a preface by Douglas Hofstadter].","Sigmund, Karl, 1945-","Science Philosophy History 20th century, Vienna circle, Logical positivism","Basic Books,","©2017."
"Physical","Horizon","BOOK","2018","12","2","The final warning / James Patterson.","Patterson, James, 1947-","Global warming Juvenile fiction, Genetic engineering Fiction, Adventure stories, Science fiction Juvenile fiction, Antarctica Juvenile fiction","Little, Brown,","2008."
"Physical","Horizon","BOOK","2018","12","5","Altered carbon / Richard K. Morgan.","Morgan, Richard K., 1965-","Private investigators Fiction, Soldiers of fortune Fiction, Rich people Fiction, Murder Investigation Fiction, Interstellar travel Fiction, Life on other planets Fiction, Nanotechnology Fiction, Genetic engineering Fiction, Immortalism Fiction, San Francisco Calif Fiction, Cyberpunk fiction, Science fiction","Del Rey,","2017."
"Digital","OverDrive","EBOOK","2018","12","1","My Father's Words","Patricia MacLachlan","Juvenile Fiction, Juvenile Literature","HarperCollins Publishers Inc.","2018"
"Physical","Horizon","BOOK","2018","12","1","Hot and cold / by Gini Holland.","Holland, Gini","Heat Juvenile literature, Cold Juvenile literature","Weekly Reader Pub.,","2008."
"Physical","Horizon","BOOK","2018","12","1","The unofficial LEGO builder's guide / by Allan Bedford.","Bedford, Allan","LEGO toys","No Starch Press,","[2013]"
"Digital","OverDrive","EBOOK","2018","12","1","Conspiracy Game: GhostWalkers Series, Book 4","Christine Feehan","Fiction, Romance, Suspense","Penguin Group (USA), Inc.","2011"
"Digital","OverDrive","EBOOK","2018","12","1","Autumn Winds: Seasons of the Heart Series, Book 2","Charlotte Hubbard","Fiction, Literature, Romance","Random House, Inc.","2014"
"Physical","Horizon","BOOK","2018","12","1","The Italian slow cooker / Michele Scicolone ; photographs by Alan Richardson.","Scicolone, Michele","Electric cooking Slow, Cooking Italian","Houghton Mifflin Harcourt,","2010."
"Physical","Horizon","BOOK","2018","12","1","When I say no, I feel guilty : how to cope--using the skills of systematic assertive therapy / Manuel J. Smith.","Smith, Manuel J., 1934-2007","Assertiveness training","Bantam Books,","1975."
"Digital","OverDrive","EBOOK","2018","12","2","Close to Home","Rachel Spangler","Fiction, Literature, Romance","Lightning Source Inc","2018"
"Physical","Horizon","BOOK","2018","12","3","1,000 places to see in the United States & Canada before you die / by Patricia Schultz.","Schultz, Patricia","United States Guidebooks, Canada Guidebooks","Workman Publishing,","[2016]"
"Physical","Horizon","BOOK","2018","12","12","Michael Hague's Treasury of Christmas carols / by Michael Hague and Kathleen Hague.","Hague, Michael","Christmas music Juvenile, Carols Juvenile fiction, Christmas music Juvenile fiction","New York : Sterling Children's Books,","[2011]"
"Physical","Horizon","SOUNDDISC","2018","12","1","Disintegration / the Cure.","Cure (Musical group)","Rock music 1981 1990","Elektra,","[1989]"
"Physical","Horizon","SOUNDDISC","2018","12","4","The Wiz live! : original soundtrack of the NBC television event.","Smalls, Charlie","Television musicals, Musicals, Television musicals, Musicals","Masterworks/Broadway Records,","[2015]"
"Digital","OverDrive","AUDIOBOOK","2018","12","1","Winesburg, Ohio (Unabridged)","Sherwood Anderson","Fiction, Literature, Short Stories","HarperCollins Publishers Inc.","2006"
"Physical","Horizon","VIDEODISC","2018","12","1","The forgotten plague / a Steward/Gazit Productions, Inc. film for American Experience ; co-produced by Kristina Cafarella, Kathryn Lord ; written, produced and directed by Chana Gazit ; executive producer, Mark Samels.",,"Tuberculosis, Lungs Diseases, Documentary television programs, Nonfiction television programs, Medical television programs, Historical television programs, Video recordings for the hearing impaired","WGBH Educational Foundatin ; PBS Distribution,","c2015."
"Physical","Horizon","VIDEODISC","2018","12","3","Maurizio Cattelan : be right back / a Maura Axelrod Production ; Bow and Arrow Entertainment ; produced by Lucian Read, Lyman Smith ; written and directed by Maura Axelrod.",,"Cattelan Maurizio 1960, Artists Italy Biography, Biographical films, Nonfiction films, Video recordings for the hearing impaired","Film Movement,","c2017."
"Digital","OverDrive","AUDIOBOOK","2018","12","2","The Gnostic Gospels (Unabridged)","Elaine Pagels","Nonfiction, Religion & Spirituality","Books on Tape","2011"
"Physical","Horizon","BOOK","2018","12","1","Mimbres pottery : ancient art of the American Southwest : essays / by J.J. Brody, Catherine J. Scott, Steven A. LeBlanc ; introduction by Tony Berlant.","Brody, J. J.","Mimbres culture, Mimbres pottery New Mexico, New Mexico Antiquities","Published by Hudson Hills Press in association with The American Federation of Arts : Distributed in the U.S. by Viking Penguin,","1983."
"Physical","Horizon","BOOK","2018","12","1","Why men marry bitches : a woman's guide to winning her man's heart / Sherry Argov.","Argov, Sherry","Courtship, Single women Life skills guides, Man woman relationships","Simon & Schuster Paperbacks,","2006."
"Digital","OverDrive","AUDIOBOOK","2018","12","1","Shadow of Power: Paul Madriani Series, Book 9 (unabridged) (Unabridged)","Steve Martini","Fiction, Thriller","HarperCollins Publishers Inc.","2015"
"Physical","Horizon","BOOK","2018","12","1","The stammering century / Gilbert Seldes.","Seldes, Gilbert, 1893-1970","Nineteenth century, Reformers, United States Civilization, United States Social conditions, United States Intellectual life","John Day,","[1928]"
"Physical","Horizon","BOOK","2018","12","13","Fluffy strikes back / Ashley Spires.","Spires, Ashley, 1978-","Cats Comic books strips etc, Life on other planets Comic books strips etc, Pets Comic books strips etc, Intelligence service Comic books strips etc, Science fiction comics, Graphic novels","Kids Can Press Ltd.,","[2016]"
"Physical","Horizon","SOUNDDISC","2018","12","1","A long way gone : memoirs of a boy soldier / Ishmael Beah.","Beah, Ishmael, 1980-","Beah Ishmael 1980, Child soldiers Sierra Leone Biography, Sierra Leone History Civil War 1991 2002 Personal narratives, Sierra Leone History Civil War 1991 2002 Participation Juvenile Biography, Sierra Leone Social conditions 1961, Audiobooks","Macmillan Audio,","[2007]"
"Digital","OverDrive","EBOOK","2018","12","2","The Skeleton Garden","Marty Wingate","Fiction, Mystery","Random House, Inc.","2016"
"Digital","OverDrive","EBOOK","2018","12","2","Everyday Enlightenment: The Twelve Gateways to Personal Growth","Dan Millman","New Age, Nonfiction, Self-Improvement","Hachette Digital, Inc.","2013"
"Physical","Horizon","BOOK","2018","12","1","Detskiĭ mir stikhi / ; Risunki, I. Glazova, B. Trzheme︠t︡skogo.","Uspenskiĭ, Ė. (Ėduard)","Russian language materials, Childrens poetry Russian, Poetry","Malysh,","2017."
"Physical","Horizon","BOOK","2018","12","1","Hank finds inspiration / Craig Frazier.","Frazier, Craig, 1955-","Inspiration Juvenile fiction, Snakes Fiction, Human animal relationships Juvenile fiction","Roaring Brook Press,","2008."
"Digital","OverDrive","EBOOK","2018","12","1","The Long and Winding Road: Bear, Otter, and the Kid Chronicles, Book 4","TJ Klune","Fiction, Literature, Romance","Dreamspinner Press","2017"
"Digital","OverDrive","EBOOK","2018","12","1","Class Pet Mess!","Dan Gutman","Beginning Reader, Humor (Fiction), Juvenile Fiction, Juvenile Literature","HarperCollins Publishers Inc.","2017"
"Digital","OverDrive","EBOOK","2018","12","1","Tick-Tock!: Measuring Time","Gina Shaw","Beginning Reader, Juvenile Nonfiction, Technology","Penguin Group (USA), Inc.","2018"
"Physical","Horizon","BOOK","2018","12","1","The essential wood fired pizza cookbook : recipes and techniques from my wood-fired oven / Anthony Tassinello, photography by Kelly Ishikawa.","Tassinello, Anthony,","Pizza, Outdoor cooking, Cookbooks","Rockridge Press,","[2016]"
"Physical","Horizon","VIDEODISC","2018","12","9","I will fight no more forever / Wolper Productions ; produced by Stan Margulies ; written by Jeb Rosebrook and Theodore Strauss ; directed by Richard T. Heffron. Blue steel / Lone Star Productions ; a Paul Malvern production ; story and screen play by Robert Bradbury ; directed by Robert Bradbury. McLintock! / Batjac ; produced by Michael Wayne ; written by James Edward Grant ; directed by Andrew V. McLaglen. Pioneer woman / Filmways ; produced by Richard M. Rosenbloom ; written by Suzanne Clauser ; directed by Buzz Kulik.",,"Joseph Nez Perc‚ Chief 1840 1904 Drama, Nez Perc‚ Indians Drama, Indians Treatment of Drama, Cowboys West U S Drama, Criminals West U S Drama, Outlaws Drama, Fugitives from justice Drama, Man woman relationships Drama, Ranch life Drama, Married people Drama, Daughters Drama, West U S Social life and customs Drama, Made for TV movies, Western television programs, Historical television programs, Fiction television programs, Feature films, Western films, Historical films, Fiction films","Echo Bridge Home Entertainment,","[2018]"
"Physical","Horizon","BOOK","2018","12","1","Christmas in cowboy country / Janet Dailey.","Dailey, Janet","Cowboys Fiction, Colorado Fiction, Christmas fiction","Kensington Books,","[2014]"
"Physical","Horizon","SOUNDDISC","2018","12","2","The essential Sun Records country hits / Jerry Lee Lewis.","Lewis, Jerry Lee","Country music, Rock music","Varèse Sarabande,","[2010]"
"Physical","Horizon","BOOK","2018","12","2","Hellboy : masks and monsters.",,"Batman Fictitious character Comic books strips etc, Hellboy Fictitious character from Mignola Comic books strips etc, Starman Fictitious character Comic books strips etc, Graphic novels, Superhero comic books strips etc, Comic books strips etc, Paranormal comics","Dark Horse Books,","2010."
"Digital","OverDrive","EBOOK","2018","12","1","The Mayor of MacDougal Street: A Memoir","Dave Van Ronk","Biography & Autobiography, Nonfiction","Perseus Books Group","2010"
"Digital","OverDrive","EBOOK","2018","12","3","1222: Hanne Wilhelmsen Series, Book 8","Anne Holt","Fiction, Mystery, Suspense","Simon & Schuster, Inc.","2016"
"Physical","Horizon","SOUNDDISC","2018","12","2","Full disclosure / Stormy Daniels.","Daniels, Stormy, 1979-","Daniels Stormy 1979, Trump Donald 1946 Relations with women, Pornographic films United States Biography, Sex scandals United States History 21st century, Audiobooks, Autobiographies","Macmillan Audio,","[2018]"
"Digital","OverDrive","AUDIOBOOK","2018","12","1","On My Own (Unabridged)","Diane Rehm","Biography & Autobiography, Family & Relationships, Nonfiction, Self-Improvement","Books on Tape","2016"
"Physical","Horizon","VIDEODISC","2018","12","1","Palata no. 6 = Ward no. 6 / Mosfilm ; Courier Studio ; general producer, Karen Shakhnazarov ; written by Alexander Borodyansky and Karen Shakhnazarov ; directed by Karen Shakhnazarov with the participation of Alexander Gornovsky.",,"Psychiatric hospital patients Drama, Psychiatrists Drama, Russia Federation Drama, Feature films, Fiction films, Motion pictures Russian","Kino International,","[2011]"
"Physical","Horizon","BOOK","2018","12","1","The Axe of Sundering / M.L. Forman.","Forman, Mark, 1964-","Wizards Juvenile fiction, Magic Juvenile fiction, Orphans Juvenile fiction, Adventure and adventurers Fiction","Shadow Mountain,","[2017]"
"Digital","OverDrive","AUDIOBOOK","2018","12","1","The Civil War, Part I (Unabridged)","Jeffrey Rogers Hummel","History, Military, Nonfiction, Politics","Blackstone Audio, Inc.","2008"
"Physical","Horizon","SOUNDDISC, VIDEODISC","2018","12","6","Skylarking / XTC.","XTC (Musical group)","Rock music 1981 1990, Popular music 1981 1990, Rock music, Popular music","Ape House,","[2016]"
"Digital","OverDrive","EBOOK","2018","12","1","Stay: Aud Torvingen Series, Book 2","Nicola Griffith","Fiction, Literature, Mystery","Random House, Inc.","2012"
"Digital","OverDrive","EBOOK","2018","12","2","Beyond the Pale: Last Rune Series, Book 1","Mark Anthony","Fantasy, Fiction, Thriller","Random House, Inc.","2011"
"Digital","OverDrive","AUDIOBOOK","2018","12","9","The Aging Brain: Proven Steps to Prevent Dementia and Sharpen Your Mind (unabridged) (Unabridged)","Timothy R. Jennings","Health & Fitness, Nonfiction","Christian Audio, LLC","2018"
"Digital","OverDrive","EBOOK","2018","12","1","Fairy Tale Rituals: Engage the Dark, Eerie & Erotic Power of Familiar Stories","Kenny Klein","New Age, Nonfiction","Llewellyn Publications","2011"
"Physical","Horizon","BOOK","2018","12","2","The happy isles of Oceania : paddling the Pacific / Paul Theroux.","Theroux, Paul","Theroux Paul Travel Oceania, Sea kayaking Oceania, Oceania Description and travel, Oceania History Local","Houghton Mifflin Co.,","2006."
"Physical","Horizon","VIDEODISC","2018","12","2","Belly dance. Vol. 15, Body sculpt / produced by Amira Mor International LLC. ; director, Amira Mor.",,"Belly dance, Aerobic dancing, Exercise, Instructional films, Nonfiction films","Amira Mor International Entertainment,","[2013]"
"Physical","Horizon","BOOK","2018","12","2","The lemonade hurricane : a story about mindfulness and meditation / Licia Morelli ; illustrated by Jennifer E. Morris.","Morelli, Licia, 1978-","Meditation Juvenile fiction, Brothers and sisters Juvenile fiction","Tilbury House Publishers,","2015."
"Physical","Horizon","VIDEODISC","2018","12","23","Cinderella / Disney ; an Allison Shearmur/Beaglepug/Kinberg Genre production ; produced by Simon Kinberg, Allison Shearmur, David Barron ; screenplay by Chris Weitz ; directed by Kenneth Branagh.",,"Cinderella Legendary character Juvenile drama, Princesses Juvenile drama, Fairy godmothers Juvenile drama, Stepmothers Juvenile drama, Balls Parties Juvenile drama, Childrens films, Fiction films, Fantasy films, Feature films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Buena Vista Home Entertainment,","[2015]"
"Digital","OverDrive","EBOOK","2018","12","1","Once Upon a Highland Christmas","Lecia Cornwall","Fiction, Historical Fiction, Romance","HarperCollins Publishers Inc.","2014"
"Physical","Horizon","BOOK","2018","12","3","Batman : ego and other tails / written & illustrated by Darwyn Cooke ; featuring Paul Grist, Bill Wray, Tim Sale ; with Matt Hollingsworth ... [and others].","Cooke, Darwyn","Batman Fictitious character Comic books strips etc, Catwoman Fictitious character Comic books strips etc, Heroes Comic books strips etc, Women heroes Comic books strips etc, Good and evil Comic books strips etc, Comic books strips etc, Graphic novels","DC Comics,","[2007]"
"Physical","Horizon","BOOK","2018","12","1","The years that were fat : the last of old China / by George N. Kates ; with an introd. by John K. Fairbank ; photos. by Hedda Hammer Morrison.","Kates, George N. (George Norbert), 1895-1990","Kates George N George Norbert 1895 1990, Beijing China Description and travel","M.I.T. Press,","1976."
"Digital","OverDrive","EBOOK","2018","12","1","Beginning Go: Making the Winning Move","Peter Shotwell","Games, Nonfiction","Lightning Source Inc","2012"
"Physical","Horizon","BOOK","2018","12","2","My body belongs to me / Jill Starishevsky ; with illustrations by Sara Miller ; [edited by Christiane Kafka].","Starishevsky, Jill","Child sexual abuse Prevention Juvenile literature, Child abuse Prevention Juvenile literature, Sexual abuse, Sexual abuse Prevention, Child abuse Juvenile literature","Safety Star Media,","[2008]"
"Digital","OverDrive","EBOOK","2018","12","2","Too Dangerous For a Lady: Company Of Rogues Series, Book 16","Jo Beverley","Fiction, Historical Fiction, Romance, Thriller","Penguin Group (USA), Inc.","2015"
"Digital","OverDrive","EBOOK","2018","12","2","The Newcomer: Thunder Point Series, Book 2","Robyn Carr","Fiction, Romance","Harlequin Enterprises, Ltd.","2013"
"Physical","Horizon","BOOK","2018","12","15","Moominmamma's maid / Tove Jansson.","Jansson, Tove","Moomins Fictitious characters Comic books strips etc, Comics Graphic works","Enfant,","2015."
"Digital","OverDrive","EBOOK","2018","12","1","The End of Time: Crispin Series, Book 3","Avi","Historical Fiction, Juvenile Fiction","HarperCollins Publishers Inc.","2010"
"Digital","OverDrive","AUDIOBOOK","2018","12","1","Mothers and Sons: Stories (unabridged) (Unabridged)","Colm Toibin","Fiction, Short Stories","Blackstone Audio, Inc.","2008"
"Digital","OverDrive","EBOOK","2018","12","1","Escape to the World's Fair: Wanderville Series, Book 3","Wendy McClure","Juvenile Fiction, Juvenile Literature","Penguin Group (USA), Inc.","2015"
"Physical","Horizon","BOOK","2018","12","1","Programmed inequality : how Britain discarded women technologists and lost its edge in computing / Marie Hicks.","Hicks, Marie","Women Employment Great Britain History 20th century, Sex discrimination in employment Great Britain History 20th century, Electronic data processing Great Britain History, Technocracy","MIT Press,","c2017."
"Digital","OverDrive","EBOOK","2018","12","3","Wyoming Bold: Wyoming Men Series, Book 3","Diana Palmer","Fiction, Romance","Harlequin Enterprises, Ltd.","2013"
"Physical","Horizon","SOUNDDISC","2018","12","1","The days of wine and roses / the Dream Syndicate.","Dream Syndicate (Musical group)","Rock music 1981 1990, Rock music","Omnivore Recordings,","[2015]"
"Digital","OverDrive","EBOOK","2018","12","2","No Prisoners: Star Wars: The Clone Wars Series, Book 3","Karen Traviss","Fiction, Science Fiction, Thriller","Random House, Inc.","2018"
"Physical","Horizon","BOOK","2018","12","1","Dry bones / Craig Johnson.","Johnson, Craig, 1961-","Longmire Walt Fictitious character Fiction, Sheriffs Fiction, Wyoming Fiction, Mystery fiction","Viking,","2015."
"Physical","Horizon","BOOK","2018","12","3","Being thankful / by Mercer Mayer.","Mayer, Mercer, 1943-","Little Critter Fictitious character Juvenile fiction, Gratitude Juvenile fiction, Avarice Juvenile fiction, Contentment Juvenile fiction, Animals Juvenile fiction","Tommy Nelson,","[2014]"
"Digital","OverDrive","EBOOK","2018","12","3","Ella Enchanted","Gail Carson Levine","Fantasy, Juvenile Fiction","HarperCollins Publishers Inc.","2013"
"Physical","Horizon","SOUNDDISC","2018","12","2","Samson et Dalila / Saint-Saëns.","Saint-Saëns, Camille, 1835-1921","Operas","Erato/Warner Classics,","[2017]"
"Digital","OverDrive","EBOOK","2018","12","9","The Man Who Came Uptown","George Pelecanos","Fiction, Mystery","Hachette Digital, Inc.","2018"
"Physical","Horizon","BOOK","2018","12","15","The hellfire club / Jake Tapper.","Tapper, Jake","Conspiracies Fiction, Legislators United States Fiction, Washington D C Fiction, Political fiction, Thrillers Fiction","Little, Brown and Company,","2018."
"Digital","OverDrive","AUDIOBOOK","2018","12","7","Waiting for Eden: A novel (unabridged) (Unabridged)","Elliot Ackerman","Fiction, Literature","Books on Tape","2018"
"Physical","Horizon","BOOK","2018","12","1","Call the shots / Don Calame.","Calame, Don","Teenage boys Juvenile fiction, Best friends Fiction, Man woman relationships Juvenile fiction, High school students Juvenile fiction","Candlewick Press,","2012."
"Physical","Horizon","BOOK","2018","12","1","The Left-Handed Fate / Kate Milford ; illustrated by Eliza Wheeler.","Milford, Kate","Magic Juvenile fiction, Sea stories, United States History War of 1812 Juvenile fiction","Henry Holt and Company,","2016."
"Physical","Horizon","BOOK","2018","12","4","Great dog / Davide Cali ; illustrated by Miguel Tanco.","Calì, Davide, 1972-","Dogs Juvenile fiction, Professions Juvenile fiction","Press,","2018."
"Physical","Horizon","VIDEODISC","2018","12","1","It's me, Hilary : the man who drew Eloise / HBO Documentary Films ; a Casual Romance Productions ; directed by Matt Wolf ; produced by Stacey Reiss ; executive producers, Lena Dunham, Jenni Konner ; co-producer, Ericka Naegle.",,"Knight Hilary, Illustrators United States Biography, Eloise Fictitious character Thompson, Documentary films, Biographical films, Nonfiction films","HBO Home Entertainment,","c2015."
"Physical","Horizon","SOUNDDISC","2018","12","6","The essential Clash.","Clash (Musical group)","Rock music 1971 1980, Rock music 1981 1990, Punk rock music","Epic,","[2003]"
"Digital","OverDrive","AUDIOBOOK","2018","12","3","This Bitter Earth: Sugar Series, Book 2 (unabridged) (Unabridged)","Bernice L. McFadden","Fiction, Literature","Recorded Books, LLC","2018"
"Physical","Horizon","SOUNDDISC","2018","12","2","A history of ancient Greece / by Professor Eric H. Cline.","Cline, Eric H.","Greece History To 146 B C, Greece Civilization To 146 B C","Recorded Books,","[2007]"
"Physical","Horizon","BOOK","2018","12","1","The abyss surrounds us / Emily Skrutskie.","Skrutskie, Emily, 1993-","Sea monsters Juvenile fiction, Pirates Juvenile fiction, Young adult fiction","Flux,","[2016]"
"Digital","OverDrive","EBOOK","2018","12","1","Catch of the Day","Whitney Lyles","Fiction, Romance","Penguin Group (USA), Inc.","2013"
"Physical","Horizon","BOOK","2018","12","2","Yasmin the painter / written by Saadia Faruqi ; illustrated by Hatem Aly.","Faruqi, Saadia","Muslim girls Juvenile fiction, Muslim families Juvenile fiction, Pakistani Americans Juvenile fiction, Painting Juvenile fiction, Creative ability Juvenile fiction, Self confidence Juvenile fiction, Art Fiction, Muslims United States Fiction","Picture Window Books, a Capstone imprint,","[2019]"
"Digital","OverDrive","EBOOK","2018","12","1","The Masked Empire: Dragon Age Series, Book 4","Patrick Weekes","Fantasy, Fiction, Literature","Macmillan Publishers","2015"
"Digital","OverDrive","EBOOK","2018","12","2","ReVISIONS","Julie E. Czerneda","Fiction, Science Fiction, Short Stories","Penguin Group (USA), Inc.","2013"
"Physical","Horizon","BOOK","2018","12","1","On the bus with Rosa Parks : poems / Rita Dove.","Dove, Rita","African American women civil rights workers Poetry, Civil rights movements United States Poetry, African Americans Civil rights Poetry, African American women Poetry","Norton,","1999."
"Digital","OverDrive","AUDIOBOOK","2018","12","2","Bold & Brave: Ten Heroes Who Won Women the Right to Vote (unabridged) (Unabridged)","Kirsten Gillibrand","Biography & Autobiography, Juvenile Nonfiction, Reference, Sociology","Books on Tape","2018"
"Digital","OverDrive","AUDIOBOOK","2018","12","1","From the Earth to the Moon (Unabridged)","Jules Verne","Fiction, Science Fiction & Fantasy","Blackstone Audio, Inc.","2008"
